,word,CLINTON,O'MALLEY,SANDERS,Total
1584,martinomalleycom,0.0,0.029411764705882353,0.0,0.011904761904761904
1585,needed,0.0,0.029411764705882353,0.03225806451612903,0.023809523809523808
1586,domestic,0.0,0.029411764705882353,0.0,0.011904761904761904
1587,second,0.0,0.029411764705882353,0.0967741935483871,0.047619047619047616
1588,reported,0.0,0.029411764705882353,0.0,0.011904761904761904
1589,solar,0.0,0.029411764705882353,0.0,0.011904761904761904
1590,partly,0.0,0.029411764705882353,0.0,0.011904761904761904
1591,untried,0.0,0.029411764705882353,0.0,0.011904761904761904
1592,didnt,0.0,0.029411764705882353,0.03225806451612903,0.023809523809523808
1593,repealed,0.0,0.029411764705882353,0.0,0.011904761904761904
1594,balanced,0.0,0.029411764705882353,0.0,0.011904761904761904
1595,trades,0.0,0.029411764705882353,0.0,0.0
1596,borrowed,0.0,0.029411764705882353,0.0,0.011904761904761904
1597,represented,0.0,0.029411764705882353,0.0,0.011904761904761904
1598,enact,0.0,0.029411764705882353,0.0,0.011904761904761904
1599,mouths,0.0,0.029411764705882353,0.0,0.011904761904761904
1600,crowds,0.0,0.029411764705882353,0.0,0.011904761904761904
1601,parents,0.0,0.029411764705882353,0.0,0.0
1602,program,0.0,0.029411764705882353,0.0967741935483871,0.07142857142857142
1603,marginal,0.0,0.029411764705882353,0.0,0.011904761904761904
1604,methodologies,0.0,0.029411764705882353,0.0,0.0
1605,constitution,0.0,0.029411764705882353,0.0,0.011904761904761904
1606,directive,0.0,0.029411764705882353,0.0,0.011904761904761904
1607,practices,0.0,0.029411764705882353,0.0,0.011904761904761904
1608,heads,0.0,0.029411764705882353,0.0,0.011904761904761904
1609,deep,0.0,0.029411764705882353,0.03225806451612903,0.023809523809523808
1610,passe,0.0,0.029411764705882353,0.0,0.011904761904761904
1611,ebola,0.0,0.029411764705882353,0.0,0.011904761904761904
1612,facebook,0.0,0.029411764705882353,0.0,0.011904761904761904
1613,judge,0.0,0.029411764705882353,0.0,0.011904761904761904
1614,huge,0.0,0.029411764705882353,0.06451612903225806,0.03571428571428571
1615,indicated,0.0,0.029411764705882353,0.0967741935483871,0.047619047619047616
1616,saddling,0.0,0.029411764705882353,0.0,0.011904761904761904
1617,stretch,0.0,0.029411764705882353,0.0,0.011904761904761904
1618,dealers,0.0,0.029411764705882353,0.0,0.011904761904761904
1619,adapt,0.0,0.029411764705882353,0.0,0.011904761904761904
1620,incarceration,0.0,0.029411764705882353,0.03225806451612903,0.023809523809523808
1621,falls,0.0,0.029411764705882353,0.0,0.0
1622,democrats,0.0,0.029411764705882353,0.0,0.0
1623,fees,0.0,0.029411764705882353,0.0,0.011904761904761904
1624,squared,0.0,0.029411764705882353,0.0,0.011904761904761904
1625,regardless,0.0,0.029411764705882353,0.0,0.011904761904761904
1626,drove,0.0,0.029411764705882353,0.0,0.011904761904761904
1627,increasing,0.0,0.029411764705882353,0.0,0.011904761904761904
1628,lifetime,0.0,0.029411764705882353,0.0,0.011904761904761904
1629,wins,0.0,0.029411764705882353,0.0,0.011904761904761904
